date,K-커버드형
2018-12-03,1100.55 
2018-12-02,1100.56 
2018-12-01,1100.57 
2018-11-30,1105.09 
2018-11-29,1104.03 
2018-11-28,1102.61 
2018-11-27,1098.63 
2018-11-26,1093.66 
2018-11-25,1093.67 
2018-11-24,1093.68 
2018-11-23,1095.22 
2018-11-22,1096.19 
2018-11-21,1098.54 
2018-11-20,1101.87 
2018-11-19,1100.87 
2018-11-18,1100.88 
2018-11-17,1100.88 
2018-11-16,1099.91 
2018-11-15,1096.53 
2018-11-14,1098.16 
2018-11-13,1100.67 
2018-11-12,1100.71 
2018-11-11,1100.71 
2018-11-10,1100.71 
2018-11-09,1101.14 
2018-11-08,1095.48 
2018-11-07,1097.72 
2018-11-06,1094.42 
2018-11-05,1099.74 
2018-11-04,1099.74 
2018-11-03,1099.74 
2018-11-02,1080.80 
2018-11-01,1082.73 
2018-10-31,1080.02 
2018-10-30,1076.05 
2018-10-29,1080.59 
2018-10-28,1080.58 
2018-10-27,1080.58 
2018-10-26,1088.27 
2018-10-25,1097.94 
2018-10-24,1099.59 
2018-10-23,1110.66 
2018-10-22,1109.75 
2018-10-21,1109.74 
2018-10-20,1109.74 
2018-10-19,1107.98 
2018-10-18,1110.84 
2018-10-17,1105.84 
2018-10-16,1105.94 
2018-10-15,1107.85 
2018-10-14,1107.85 
2018-10-13,1107.84 
2018-10-12,1100.88 
2018-10-11,1129.33 
2018-10-10,1134.53 
2018-10-09,1134.53 
2018-10-08,1137.79 
2018-10-07,1137.79 
2018-10-06,1137.79 
2018-10-05,1138.92 
2018-10-04,1150.40 
2018-10-03,1150.40 
2018-10-02,1156.02 
2018-10-01,1156.20 
2018-09-30,1156.19 
2018-09-29,1156.18 
2018-09-28,1157.65 
2018-09-27,1153.96 
2018-09-26,1153.96 
2018-09-25,1153.95 
2018-09-24,1153.94 
2018-09-23,1153.93 
2018-09-22,1153.92 
2018-09-21,1151.52 
2018-09-20,1147.26 
2018-09-19,1146.50 
2018-09-18,1144.33 
2018-09-17,1148.67 
2018-09-16,1148.66 
2018-09-15,1148.66 
2018-09-14,1139.17 
2018-09-13,1138.57 
2018-09-12,1138.71 
2018-09-11,1141.79 
2018-09-10,1139.98 
2018-09-09,1139.97 
2018-09-08,1139.96 
2018-09-07,1143.71 
2018-09-06,1144.50 
2018-09-05,1153.93 
2018-09-04,1150.54 
2018-09-03,1155.27 
2018-09-02,1155.27 
2018-09-01,1155.26 
2018-08-31,1151.47 
2018-08-30,1150.92 
2018-08-29,1148.90 
2018-08-28,1148.00 
2018-08-27,1144.93 
2018-08-26,1144.93 
2018-08-25,1144.93 
2018-08-24,1141.86 
2018-08-23,1139.42 
2018-08-22,1136.95 
2018-08-21,1128.57 
2018-08-20,1128.09 
2018-08-19,1128.09 
2018-08-18,1128.09 
2018-08-17,1127.19 
2018-08-16,1133.57 
2018-08-15,1133.57 
2018-08-14,1130.68 
2018-08-13,1138.52 
2018-08-12,1138.52 
2018-08-11,1138.52 
2018-08-10,1145.15 
2018-08-09,1145.26 
2018-08-08,1145.40 
2018-08-07,1140.56 
2018-08-06,1141.10 
2018-08-05,1141.10 
2018-08-04,1141.10 
2018-08-03,1135.76 
2018-08-02,1148.54 
2018-08-01,1145.49 
2018-07-31,1144.99 
2018-07-30,1145.83 
2018-07-29,1145.83 
2018-07-28,1145.83 
2018-07-27,1143.69 
2018-07-26,1139.10 
2018-07-25,1140.39 
